,Transaction date,House age,Distance to the nearest MRT station,Number of convenience stores,Latitude,Longitude,House price of unit area
26,2012-09-21 07:30:38.941907,34.4,2408.993,3,24.9944441888194,121.509305352086,22.9155983843477
27,2012-09-22 03:31:31.593518,18.2,519.4617,0,24.9380463341762,121.552214187846,9.42627181268327
28,2012-09-22 13:31:16.610764,11.9,1978.671,7,24.9948082321329,121.520407567452,25.8830227265785
29,2012-09-22 15:04:04.774302,5.4,1939.749,1,24.984199412755,121.47553957665,4.26637717701642
30,2012-09-23 16:01:41.587322,9.7,170.7311,3,24.9908770084506,121.512824057515,27.2066452204632
31,2012-09-23 22:39:42.486722,38.5,1828.319,4,24.9970650957123,121.512329024276,15.5643238958073
32,2012-09-24 07:27:20.179721,32.8,258.186,3,24.9947747398421,121.510337038441,30.855391370659
33,2012-09-24 22:29:39.672430,31.0,289.3248,2,24.9446364018986,121.47622695801,34.0665001523509
34,2012-09-26 22:07:50.355058,34.8,1156.777,0,24.9643233025962,121.559726485722,18.4102502610939
35,2012-09-27 18:46:26.859621,9.9,4510.359,10,24.9822111412461,121.549057220556,1.10285236256836
36,2012-09-28 07:28:53.264797,5.9,482.7581,5,24.9482972516287,121.513081867057,31.4309206817246
37,2012-09-29 02:09:24.942231,37.1,461.1016,8,24.9540764486134,121.490005422117,47.0292119939599
38,2012-09-30 07:58:58.411264,26.8,279.1726,4,24.9829799309004,121.495703922059,29.4844308653834
39,2012-10-01 03:53:12.898755,30.4,1447.286,8,24.9625975061915,121.535876581756,19.5472046960457
40,2012-10-02 14:47:12.757185,4.0,492.2313,9,24.9599486283398,121.552377100616,26.3393357636583
41,2012-10-03 08:08:58.661108,5.4,90.45606,2,24.9689190369041,121.476774911182,51.4113855617689
42,2012-10-03 16:13:07.851414,25.3,537.7971,4,25.013381894155,121.481346883592,48.5498802754601
43,2012-10-03 22:11:55.722636,16.4,1449.722,1,24.9743458261431,121.546926377628,10.3689336577519
44,2012-10-04 12:26:38.663193,26.4,2615.465,7,24.9489349220054,121.491840707064,20.5877365390199
45,2012-10-04 17:22:04.684746,8.0,405.2134,4,24.9936867034697,121.529953167661,34.2186557746786
46,2012-10-04 17:54:27.006463,19.2,488.5727,1,24.9438768313581,121.555341210871,39.2826804303524
47,2012-10-05 07:59:42.870229,30.3,1013.341,6,24.9346755358333,121.494471512805,13.0607381817319
48,2012-10-08 03:01:20.207384,12.9,90.45606,9,24.9366895883555,121.493701334288,36.4262787024133
50,2012-10-10 18:34:51.823410,13.2,707.9067,6,24.9978593940214,121.498532768249,29.7696285245791
51,2012-10-10 22:13:41.964587,8.1,373.8389,3,24.9641017127301,121.564638541706,43.0720686162193
52,2012-10-11 10:02:48.623369,32.3,379.5575,4,24.983603531753,121.536739553015,36.178357882540496
53,2012-10-12 15:12:05.083503,38.0,4197.349,8,24.9851467630134,121.559393057324,22.2103012848071
54,2012-10-14 07:45:31.196385,13.0,1159.454,6,24.9483016712827,121.538139942001,38.9063854881111
55,2012-10-14 08:17:15.202742,34.4,414.9476,0,24.956711599438,121.488671071553,31.5962845437786
56,2012-10-15 04:51:27.131825,34.4,90.45606,1,24.9466707162414,121.555845990375,16.8987551643355
58,2012-10-15 09:34:01.205256,13.2,204.1705,1,24.9675730316466,121.550517942203,47.2560316776454
59,2012-10-15 12:56:33.314936,16.1,1867.233,4,24.9971795449205,121.559968941094,26.5310213619608
60,2012-10-16 12:58:18.584396,5.6,2707.392,6,24.9708538799592,121.496696726214,0.439332088658198
61,2012-10-17 00:26:50.278638,14.2,4082.015,6,24.9382525174361,121.481171437196,10.600664945496
62,2012-10-17 10:46:04.529625,3.8,393.2606,9,24.9745234424819,121.528801714431,33.6685003704386
64,2012-10-19 16:23:38.147111,25.3,1712.632,7,24.9738457674107,121.498225706981,39.7083059867501
65,2012-10-20 09:16:54.729145,15.6,124.9912,4,24.9938752540809,121.484122063674,54.3307117240539
66,2012-10-20 18:53:26.518101,26.8,918.6357,0,24.9601138476602,121.520630203822,37.5624449383898
67,2012-10-21 05:24:38.087403,0.0,279.1726,5,24.9856280870984,121.524701870711,23.1001671257941
69,2012-10-24 13:35:59.022934,16.6,394.0173,5,24.9697704997973,121.528652676866,34.911914523897
70,2012-10-24 22:38:47.339900,7.6,3771.895,3,24.9893713836927,121.494687044102,8.78426512709071
71,2012-10-25 04:50:51.394099,12.0,2408.993,9,24.9328436396641,121.551065568013,25.6964629460552
72,2012-10-25 14:22:10.384996,6.6,461.1016,4,24.9355866667961,121.474397914293,45.297460703197906
73,2012-10-26 08:04:51.236907,37.1,1402.016,8,24.9732089884383,121.52104717819,38.6765504120982
74,2012-10-28 15:53:06.352507,25.3,577.9615,5,24.9859154838673,121.533403748726,20.1689503142355
75,2012-10-31 08:02:42.189266,11.6,186.9686,3,24.9407653394523,121.501294404301,33.0179165771809
76,2012-10-31 20:29:41.005942,25.9,1931.207,9,25.0127401505021,121.501103930543,38.0129943344239
77,2012-11-01 12:54:43.481757,29.4,201.8939,8,25.0136849317044,121.533671601927,29.7111902223534
78,2012-11-01 13:37:26.236108,17.5,492.2313,5,25.008342583011,121.531647881162,21.012629930315
79,2012-11-02 05:20:02.264297,32.6,289.3248,10,25.0128285680263,121.545843844792,38.3036872846745
80,2012-11-02 08:34:53.542057,24.2,506.1144,3,24.9675656165918,121.549018034314,27.6903517828425
82,2012-11-02 20:36:36.366754,16.1,489.8821,5,24.9422856203814,121.483165821044,28.191686132407
83,2012-11-03 18:28:17.894164,0.0,1805.665,0,24.9796557129581,121.478398589248,29.9567983945007
84,2012-11-06 00:39:28.763771,31.3,512.5487,7,24.9321270671504,121.523703175925,47.7434278350878
85,2012-11-06 04:27:18.411080,39.2,371.2495,4,24.9444066188135,121.545300415406,19.1322445865892
86,2012-11-07 04:07:43.819735,0.0,187.4823,0,24.9588107975457,121.498544870836,18.3910772686371
87,2012-11-09 16:15:43.569680,18.4,390.5684,9,24.9990150843913,121.524680608547,42.1935753240341
88,2012-11-10 03:34:49.648052,33.0,4449.27,9,25.0064211728668,121.543213074152,3.9573647193025505
89,2012-11-10 11:21:39.678309,13.0,421.479,0,24.9321291635048,121.476301176886,32.1269806754526
90,2012-11-10 15:41:46.973359,17.7,1712.632,8,24.9833473165435,121.473987127207,32.4349249054702
91,2012-11-11 15:16:00.792566,13.3,718.2937,2,24.9871284372743,121.530267546534,11.2492218447617
92,2012-11-12 08:56:01.691378,11.6,170.1289,8,24.9709078196502,121.561402482183,33.2095551853767
93,2012-11-12 20:06:44.530690,35.9,179.4538,2,24.9965585974719,121.507498337799,38.4026772860101
94,2012-11-14 21:52:29.783932,5.6,383.2805,8,25.0088489503057,121.509261939186,41.2612876350864
95,2012-11-15 04:39:29.827039,16.2,640.7391,4,24.938802072686,121.534930131918,30.4712345505525
96,2012-11-15 07:48:54.420417,11.6,2469.645,7,24.9357394864412,121.51565550459,17.5624559136366
98,2012-11-17 19:13:57.545838,35.4,318.5292,5,24.9838381852884,121.521014496693,47.3720425807714
99,2012-11-17 23:31:02.458647,37.7,1935.009,7,25.0056201914949,121.528879041694,28.2813733535374
100,2012-11-18 03:37:14.805598,40.9,577.9615,3,24.9712575001039,121.550223610758,41.585164260109
101,2012-11-19 21:02:52.430445,17.3,4066.587,9,24.9482747944162,121.533122465437,25.5897105628787
102,2012-11-20 14:09:56.457117,34.9,2185.128,6,25.0088859730452,121.485672893099,30.8509289635331
103,2012-11-20 20:40:15.753156,32.0,186.9686,8,24.9386951046129,121.498134185302,50.918107271765
104,2012-11-22 01:36:41.437909,13.7,193.5845,9,25.0051659139294,121.528352548265,57.8080366856824
105,2012-11-22 09:11:16.452072,12.7,512.5487,3,24.9450488628086,121.510519119633,18.706074507494
106,2012-11-23 12:25:53.807573,4.5,579.2083,7,25.0140030095153,121.519100587716,42.8291927812174
107,2012-11-24 14:04:53.295350,33.6,1978.671,7,24.9746169198454,121.559298258784,38.3613258024193
108,2012-11-25 00:56:55.348888,12.7,2147.376,5,24.9967057857405,121.476071144427,27.7437128877843
109,2012-11-25 06:10:44.486095,12.0,167.5989,3,24.9768239339952,121.515875003408,23.6978947304444
110,2012-11-25 09:31:00.766767,39.8,1712.632,8,24.9816590478066,121.497324067565,24.8715151875097
111,2012-11-26 20:20:14.109711,13.5,718.2937,3,24.9442821146573,121.544376640597,9.21356696011434
112,2012-11-27 02:16:45.514457,6.8,323.655,1,24.9914405919857,121.479859804846,34.7905468051116
113,2012-11-27 23:58:06.145665,18.3,90.45606,6,24.9697868243887,121.478668509483,59.3349377234529
114,2012-11-28 09:39:27.941936,13.3,274.0144,0,24.9920497469549,121.539496839072,38.8312755709849
115,2012-11-28 19:34:49.983606,38.0,161.942,0,25.0003182508366,121.490214516803,46.8769909843533
116,2012-11-29 02:17:24.216663,17.0,482.7581,7,24.9823689698026,121.495974305129,50.0252531407872
117,2012-11-30 15:27:03.720427,15.1,512.5487,5,24.9540145838766,121.549074624242,21.7119052393642
118,2012-11-30 18:01:30.909965,34.8,279.1726,2,24.9716655871468,121.473887978837,34.9428947789878
119,2012-12-01 14:05:32.327742,13.3,390.9696,6,24.9424433657278,121.503169016925,39.0209329030769
120,2012-12-01 19:53:11.767845,34.5,1159.454,0,24.9460930350282,121.516642822805,7.25505785370538
121,2012-12-03 04:30:22.234275,37.8,444.1334,0,24.9321621075599,121.524813767173,42.7525897789564
122,2012-12-03 04:46:06.777774,32.6,438.8513,5,24.9951044470995,121.536916810635,23.0459931069796
123,2012-12-04 13:46:08.400113,5.3,383.2805,0,24.9381413216714,121.505191927671,35.4962298756878
124,2012-12-04 22:26:00.762332,4.3,512.5487,0,24.989952890821,121.549169761689,12.5270152292621
125,2012-12-05 04:09:41.278733,4.0,252.5822,8,24.9845418096922,121.539823807733,24.9906447311249
126,2012-12-07 03:31:51.953988,14.0,187.4823,5,24.9713497806031,121.545940327481,32.8842110639479
127,2012-12-07 08:56:03.115646,28.2,1497.713,3,25.0093784235421,121.493819964154,12.0563720827898
128,2012-12-08 01:35:20.651338,6.5,964.7496,4,25.0145779378903,121.513937991554,20.073417458673
129,2012-12-08 08:36:41.054656,35.3,196.6172,5,24.9524031196434,121.523598981335,46.9401246127016
130,2012-12-09 09:42:52.824423,32.1,150.9347,2,24.9350062103266,121.511162857079,13.3587254623293
131,2012-12-09 20:08:54.735007,15.7,964.7496,8,25.0081611872601,121.506620103232,38.6284134340134
132,2012-12-10 02:57:01.970272,6.4,2077.39,6,24.9645961553053,121.474472696787,4.46602738900302
133,2012-12-11 05:26:32.646250,32.7,90.45606,1,24.9424519368806,121.519414479522,31.8607160059352
134,2012-12-11 05:38:02.555654,17.5,1935.009,8,24.9795304656241,121.518772144879,40.7648097853779
135,2012-12-12 23:33:58.469742,14.0,250.631,6,24.9415406027682,121.486034319976,20.8266317080464
136,2012-12-14 15:40:57.234475,20.6,2275.877,5,24.9401288745801,121.510587545117,1.9094602769652
137,2012-12-14 16:52:56.473352,25.6,482.7581,0,24.9709539822217,121.507848626077,30.383836261416
138,2012-12-15 20:54:35.759588,13.2,90.45606,6,24.9701042431144,121.53815376669,37.9707248404184
139,2012-12-16 17:27:59.223534,17.5,561.9845,4,24.9779246342823,121.534473266153,28.082915932452
140,2012-12-16 22:10:46.795265,12.6,208.3905,2,24.9521969416284,121.536199537917,17.3733897608188
141,2012-12-17 09:49:55.480751,20.4,156.2442,7,24.9934261963371,121.555066317953,45.6651299462785
142,2012-12-19 15:36:37.222683,0.0,377.7956,4,24.9718202282814,121.48300656377,28.9569385588896
143,2012-12-19 23:48:48.753602,33.4,967.4,3,24.9942146782477,121.507861907042,10.4361777478419
144,2012-12-21 19:27:42.718046,30.0,1157.988,3,24.9557306170421,121.504750005664,17.0090823321316
145,2012-12-23 11:48:13.036928,31.0,104.8101,6,24.9790927192513,121.487939123867,36.3260482916118
146,2012-12-25 21:40:38.472703,17.7,4082.015,7,24.9744180027889,121.524683120688,7.4680339183557
147,2012-12-26 12:49:07.992875,10.4,287.6025,10,24.9957450834024,121.545250944333,34.180725456544
148,2012-12-29 06:16:36.940506,16.9,23.38284,1,24.9697297560591,121.549660264651,47.2549294243721
149,2012-12-29 08:14:21.469109,16.2,1783.18,1,24.9647672694358,121.515115248177,8.40412306626602
150,2012-12-29 17:02:34.821496,23.0,482.7581,6,24.9513556241635,121.537601355358,39.8301588877198
151,2012-12-30 15:34:49.213754,1.1,577.9615,5,24.9962192209167,121.487138930842,27.5314588599267
152,2012-12-30 19:21:48.037083,4.5,590.9292,1,24.9490277879196,121.487708741278,44.7197269269384
153,2013-01-01 01:23:36.311160,12.0,292.9978,3,24.9885796263289,121.494621986352,32.154001369738
154,2013-01-02 08:17:42.918586,32.5,2707.392,1,25.0080758377221,121.51100823294,12.7423741305414
155,2013-01-02 16:30:06.671233,17.4,1402.016,5,24.9923098066879,121.506569178382,44.807935631103
156,2013-01-02 17:37:47.155479,16.1,1449.722,8,24.9752580533036,121.511228204485,23.5774016324822
157,2013-01-03 10:42:07.910539,31.0,3171.329,9,25.0123698651947,121.545901513722,3.39830476234454
158,2013-01-04 10:27:23.143942,0.0,639.6198,1,24.9639671531933,121.513391824543,40.506989705687694
159,2013-01-04 13:19:11.241833,16.6,250.631,5,25.006474193976,121.528411130979,43.6616325867157
160,2013-01-05 18:03:40.315596,30.9,4197.349,4,24.9991772070207,121.499466920685,7.60804222209894
161,2013-01-06 11:30:52.856839,35.8,451.2438,4,24.9718964442216,121.552396575431,29.0967787633323
162,2013-01-07 15:42:57.951721,39.2,482.7581,1,24.9952664962135,121.542509483252,45.3484542227931
163,2013-01-07 15:53:44.307810,30.6,90.45606,5,25.003556381245,121.48261130064,48.4698804985615
164,2013-01-10 17:48:44.844199,3.8,292.9978,0,24.955764922707,121.53244901096,39.5530021434955
165,2013-01-11 20:57:59.129563,30.9,167.5989,7,24.9339128004795,121.563923958209,31.8123335272741
166,2013-01-12 00:32:43.819707,33.9,482.7581,3,24.9401483777982,121.52503644977,39.8442193233348
167,2013-01-12 14:18:34.266927,15.9,557.478,5,24.9863846018072,121.491753117454,50.7686874512217
168,2013-01-12 16:01:12.866326,24.2,201.8939,6,24.9957264003105,121.507313751459,59.2537044385582
169,2013-01-12 20:45:46.891427,15.0,289.3248,2,24.9546838279735,121.490972633018,32.9683526527909
170,2013-01-13 14:41:25.569484,17.8,383.8624,2,24.9843582413234,121.543209867701,22.5160355518706
171,2013-01-15 14:13:26.134565,15.2,109.9455,8,24.9447436289283,121.489200839286,35.4634547473561
172,2013-01-15 14:41:17.944841,0.0,292.9978,10,24.9328047579623,121.510372638243,65.571716063673
173,2013-01-17 23:01:57.180234,39.8,1236.564,8,24.9614834196357,121.543777845948,22.5686885989691
174,2013-01-18 02:14:01.508617,18.2,732.8528,5,24.9525034203157,121.506975266459,33.9458354794802
175,2013-01-20 01:23:45.481038,1.5,193.5845,7,24.9351862932981,121.503063097756,32.297726133443
176,2013-01-21 02:23:38.020787,15.5,167.5989,0,24.9418842911422,121.552742666566,13.7948084711636
177,2013-01-21 04:00:02.615176,0.0,292.9978,7,24.9540983675674,121.496493822971,35.2522009872236
178,2013-01-21 05:25:21.483565,18.1,535.527,1,24.9873938924939,121.502245444152,26.8670498796448
179,2013-01-21 10:39:50.943373,11.5,289.3248,1,24.9557081465153,121.525458582991,26.7221809960102
180,2013-01-22 19:25:43.173770,13.9,189.5181,6,24.960983936636,121.540103656358,58.8151621881851
181,2013-01-22 19:38:43.744709,8.9,4082.015,6,24.987028751966,121.553908034284,17.3475390956882
182,2013-01-23 08:32:16.940413,40.9,492.2313,2,25.0113661118635,121.545242323504,15.4668472653615
183,2013-01-23 16:41:25.990341,30.6,461.1016,5,25.0111361845199,121.502963241369,17.8779667993576
184,2013-01-24 16:44:54.636498,17.9,170.1289,5,24.9919230952376,121.534382133383,33.8189554293647
185,2013-01-25 04:22:11.635391,27.5,451.6419,2,24.9519322324496,121.484368259356,26.7593050070151
186,2013-01-25 13:44:03.560634,22.2,1758.406,8,24.9439139774923,121.515622851935,12.2342046220592
187,2013-01-25 18:11:23.269652,13.9,329.9747,0,24.9613498397635,121.543205374459,13.8489372714707
188,2013-01-26 02:19:43.392948,36.6,49.66105,3,24.9854784270977,121.529324764011,38.9882696901933
189,2013-01-28 22:43:32.081115,26.9,90.45606,5,24.9524175384487,121.485552033909,28.7288933601618
190,2013-01-31 02:13:08.589493,3.8,372.1386,2,24.9774838696277,121.503670400794,37.2417055596418
191,2013-01-31 03:27:21.859967,18.0,379.5575,5,25.0051924586141,121.509084791298,49.4898085706729
192,2013-01-31 07:11:30.259571,13.3,2147.376,3,24.9337320563806,121.564449984848,0.3651756182866
193,2013-01-31 23:03:53.605788,30.4,143.8383,5,24.9913291831649,121.548825884072,56.9215909769067
194,2013-01-31 23:08:35.699130,35.9,90.45606,5,24.9587541192724,121.564475382211,26.7823692442816
195,2013-02-01 05:15:01.271204,17.4,289.3248,8,24.9956926467688,121.49103763487,50.3001549462645
196,2013-02-01 07:45:14.923666,18.1,377.7956,6,24.9708204133524,121.528440260775,56.5033170169921
197,2013-02-01 15:05:57.307731,8.1,1449.722,6,25.0000120786306,121.506590408451,41.4221676023817
198,2013-02-01 18:49:53.637112,16.9,1455.798,6,24.9734506635597,121.531078283658,12.4481775253282
199,2013-02-02 04:52:37.877516,31.9,2185.128,7,24.9897957038786,121.560382599973,26.7026337361698
201,2013-02-03 10:43:24.157819,17.2,1009.235,6,24.985067125269,121.493785657031,48.5670659498596
202,2013-02-04 08:40:20.104045,4.1,438.8513,0,24.9370948264546,121.504131685618,14.6268037363223
204,2013-02-08 09:26:23.578574,3.5,1805.665,8,24.9575537528323,121.521305284315,23.3723944184189
205,2013-02-10 19:40:24.708703,18.2,1758.406,1,24.9654429298803,121.552233651822,32.7927237027884
206,2013-02-11 15:09:42.065755,3.8,170.1289,0,24.9439676549041,121.492879229081,45.4858382120226
207,2013-02-12 10:26:23.833522,10.3,1360.139,1,24.994433498215,121.53647214109,36.553051123972
208,2013-02-14 18:04:04.437771,7.1,250.631,6,24.9739048117036,121.54357092445,28.6019458869358
209,2013-02-16 01:37:37.388932,17.5,82.88643,5,24.9776573776306,121.530284075767,37.1663224362726
210,2013-02-18 23:22:36.572515,12.8,211.4473,5,24.9838692004649,121.515432839607,47.961563123228
211,2013-02-19 09:49:31.177163,12.2,2147.376,5,24.9581191644433,121.494502511349,26.9891040059551
212,2013-02-21 10:27:09.851262,6.5,515.1122,3,24.9598859292486,121.564196423579,46.4690681887091
213,2013-02-21 17:02:43.586501,14.8,193.5845,0,24.9751776327836,121.527413663304,19.233451582632
214,2013-02-21 22:08:10.492254,34.8,451.2438,1,25.0122266103905,121.495309583988,45.8099375172339
215,2013-02-22 15:48:03.938542,41.3,590.9292,5,24.9776743371829,121.474264456462,50.6280123985009
216,2013-02-22 22:18:51.946037,32.5,617.4424,6,25.0021065008066,121.476121739881,35.3033430577859
217,2013-02-23 09:32:45.962537,3.9,90.45606,5,24.9486524403354,121.496742624,49.5873159023896
218,2013-02-25 06:51:26.853422,1.1,377.7956,5,24.9620432413373,121.502779009311,22.4409728378083
219,2013-02-27 12:55:23.925797,8.0,104.8101,5,24.966716653172,121.516105680091,24.133155042721
220,2013-02-27 17:17:38.421241,13.7,185.4296,4,24.9808391387239,121.535324553816,27.6408629955206
222,2013-03-02 06:30:21.428539,2.6,390.5684,7,24.9911231444723,121.519061259634,45.109443190191
223,2013-03-02 15:08:59.430033,23.0,480.6977,7,25.0061888251179,121.524255372031,40.6512485185873
224,2013-03-03 22:41:14.516422,17.5,289.3248,5,25.0052951998831,121.507486454721,42.7979251885638
226,2013-03-06 19:20:10.898123,32.3,4573.779,3,24.9644799395326,121.483100131023,0.5660486769317
227,2013-03-09 11:57:03.865545,40.9,90.45606,0,24.9976161042729,121.516721944712,11.9655154990265
228,2013-03-09 21:25:14.609232,0.0,552.4371,0,24.985405084478,121.561186917581,5.96287468148774
230,2013-03-10 12:07:29.838557,8.9,1487.868,9,24.9877448261161,121.512572179977,43.574531040512
231,2013-03-10 17:28:31.377943,10.0,2674.961,1,24.9502924199248,121.552253256287,4.84324481688222
232,2013-03-11 00:24:34.696270,28.0,2408.993,3,24.9599849804594,121.550603114789,20.0560838286234
233,2013-03-11 02:16:12.422338,4.0,373.3937,7,24.9959123442901,121.552082388495,52.8640473047998
234,2013-03-11 18:45:39.068537,19.2,90.45606,5,24.9864180078886,121.478116610574,26.4849809509631
235,2013-03-12 11:23:51.679711,34.6,170.7311,6,25.0035701694063,121.50855610041,35.1316190791237
236,2013-03-12 22:50:21.999960,17.3,1264.73,5,24.9745368454271,121.486778470364,26.205318117002
237,2013-03-13 00:24:24.594414,24.2,1931.207,10,24.9570944227429,121.561198968459,43.9293855630677
238,2013-03-13 02:05:55.091551,11.5,2147.376,2,24.9733317661212,121.528104940535,16.0679269016274
239,2013-03-13 10:41:40.385523,3.1,451.6419,1,24.9736146344216,121.474911826696,12.3008706880704
240,2013-03-13 13:13:01.301863,12.5,90.45606,0,24.9348008924763,121.508812902902,18.5279760588054
241,2013-03-14 19:08:47.521281,39.7,2408.993,6,24.9467527574116,121.477151242889,5.97849909623054
242,2013-03-15 20:50:58.176500,26.9,482.7581,5,24.9756669657871,121.520808721234,33.2494423289882
243,2013-03-16 12:22:08.396784,28.6,289.3248,2,25.0114411405546,121.509664266042,45.3326128573898
244,2013-03-16 13:11:37.071549,35.5,383.2805,7,24.9939353632242,121.485262731094,54.9163380791104
245,2013-03-16 15:22:17.333317,37.1,1559.827,4,24.9578584068533,121.564698961553,16.3446753663684
246,2013-03-16 21:54:48.559529,18.1,390.5684,7,24.994743122765,121.548520317988,38.5684202657223
247,2013-03-17 03:40:14.339613,20.6,567.0349,6,25.0086064579176,121.545850767427,40.7521808177549
248,2013-03-17 16:27:07.329116,15.9,104.8101,8,24.9747428563129,121.538224533852,46.5400325697874
249,2013-03-18 00:10:39.273232,14.4,1712.632,2,24.9623119243281,121.551772713548,22.7586928629085
250,2013-03-18 01:04:17.400088,5.4,329.9747,1,24.9636208454535,121.559959311858,24.7435895628454
251,2013-03-18 09:33:33.059642,36.1,189.5181,8,25.0143045523001,121.526692903371,32.9575837686035
252,2013-03-21 23:35:23.178263,7.8,482.7581,1,24.9370488725631,121.498883575271,29.8620412283299
253,2013-03-22 16:17:50.012585,16.9,1447.286,6,24.9957128222874,121.483754359364,46.2585606704355
254,2013-03-23 04:42:58.223079,34.8,323.655,6,25.0060951834041,121.484982947199,45.475587813629
255,2013-03-25 02:28:26.451987,2.0,461.7848,0,24.9320749981209,121.478816073007,11.872224410856
256,2013-03-25 17:28:51.834806,34.5,90.45606,7,24.9390163753487,121.518166444311,47.5849597537306
257,2013-03-25 21:28:59.228844,16.2,519.4617,3,24.9680390658577,121.493146177628,34.6507037895075
259,2013-03-26 17:17:49.561307,8.3,289.3248,1,24.9854777574087,121.540408307643,13.6939914971538
260,2013-03-26 22:55:33.780780,10.0,2180.245,5,24.9982803968323,121.528355192064,4.22615575338024
261,2013-03-27 00:51:41.170384,4.0,336.0532,1,25.0088227408338,121.533266493756,40.4365207063351
262,2013-03-27 01:58:28.865122,37.3,1449.722,1,24.9628586975459,121.524611125852,6.3326304554134
263,2013-03-28 05:45:43.668644,40.9,533.4762,0,25.0086451241829,121.52125486738,29.8950977756843
264,2013-03-30 17:18:06.115612,2.0,815.9314,3,24.9723231958361,121.524174327897,19.5926355781034
265,2013-03-30 17:58:15.420254,0.0,2408.993,9,24.9717143760364,121.55152355424,23.8178841246938
266,2013-03-31 05:44:06.421522,0.0,506.1144,0,24.9743605407924,121.556140863518,36.9082930427954
267,2013-04-02 02:46:32.443236,12.7,383.2805,9,24.939245555155,121.484718735725,63.9940027454355
268,2013-04-03 06:08:59.233867,2.6,1360.139,6,24.9503713722857,121.484393738707,39.7401778088903
269,2013-04-03 09:44:55.184987,6.8,196.6172,5,25.0067043688249,121.497750917334,41.401766777240894
270,2013-04-04 18:24:01.429380,30.4,444.1334,0,24.9508149619698,121.544501172959,11.2778173047754
271,2013-04-05 07:04:44.157913,7.1,184.3302,9,24.9997360458752,121.543042044793,59.0363953028228
272,2013-04-05 09:40:39.742701,30.8,185.4296,3,24.9812175625249,121.477165621372,41.0084370288886
273,2013-04-07 11:30:03.510061,19.1,1156.412,0,24.9335362713515,121.55020711677,9.61707773515257
274,2013-04-07 19:33:56.523121,19.2,390.5684,5,24.9405192187774,121.523796689448,48.7410395117726
275,2013-04-07 20:18:28.406392,5.2,995.7554,0,24.9893989632247,121.560542727109,3.11389582664442
277,2013-04-10 04:15:29.133389,1.1,1144.436,8,24.9489875418455,121.525655937544,40.482274894247
278,2013-04-11 03:33:56.139074,34.9,490.3446,3,24.9790821425828,121.564848147613,32.4113338264792
279,2013-04-12 09:09:46.106676,20.9,492.2313,5,24.9603678239416,121.479863471145,31.2793466113295
280,2013-04-12 14:19:39.628162,30.9,750.0704,6,24.9510748168739,121.558447103774,21.1553438468556
281,2013-04-13 10:26:15.203372,5.9,390.5684,5,24.9357776055335,121.53456452795,41.7851707863072
282,2013-04-13 16:13:32.044352,10.4,837.7233,8,24.981883150261,121.546822859116,44.2954449888735
